timestamp,velocity,steering,pwm_green,pwm_red,gpio12_up,gpio13_down,gpio14_left,gpio15_right
1776342004.9951,74.0464,0.0946,236,24,1,0,0,1
1776342005.3748,74.5227,0.0803,237,20,1,0,0,1
1776342005.7083,72.5227,0.1131,231,28,1,0,0,1
1776342006.0439,70.5227,0.1410,224,35,1,0,0,1
1776342006.3961,71.2808,0.1197,227,30,1,0,0,1
1776342006.7381,71.9784,0.1016,229,25,1,0,0,1
1776342007.0784,72.6201,0.0862,231,21,1,0,0,1
1776342007.4314,70.6201,0.1182,225,30,1,0,0,1
1776342007.7637,68.6201,0.1453,218,37,1,0,0,1
1776342008.1072,69.4201,0.1234,221,31,1,0,0,1
1776342008.4574,70.2201,0.1047,223,26,1,0,0,1
1776342008.7928,71.0025,0.0889,226,22,1,0,0,1
1776342009.1412,71.7223,0.0754,228,19,1,0,0,1
1776342009.4854,72.3845,0.0639,230,16,1,0,0,1
1776342009.9130,70.3845,0.0992,224,25,1,0,0,1
1776342010.2893,71.1538,0.0842,226,21,1,0,0,1
1776342010.6265,71.8615,0.0714,229,18,1,0,0,1
1776342010.9595,72.5125,0.0606,231,15,1,0,0,1
1776342011.3276,73.1115,0.0513,233,13,1,0,0,1
1776342011.6607,73.6626,0.0435,234,0,1,0,0,0
1776342011.9948,74.1696,0.0368,236,0,1,0,0,0
1776342012.3546,74.6360,0.0312,237,0,1,0,0,0
1776342012.6957,75.0652,0.0264,239,0,1,0,0,0
1776342669.6299,60.8000,-0.0249,193,0,1,0,0,0
1776342670.4211,61.6000,-0.0470,196,0,1,0,0,0
1776342670.7621,62.4000,-0.0671,198,17,1,0,1,0
1776342671.1482,63.2000,-0.0852,201,21,1,0,1,0
1776342671.5396,64.0000,-0.1001,203,25,1,0,1,0
1776342671.8701,64.8000,-0.1138,206,29,1,0,1,0
1776342672.2432,65.6000,-0.1255,209,32,1,0,1,0
1776342672.5823,66.4000,-0.1347,211,34,1,0,1,0
1776342672.9117,67.2000,-0.1373,214,35,1,0,1,0
1776342673.4267,68.0000,-0.1350,216,34,1,0,1,0
1776342673.7831,66.0000,-0.0841,210,21,1,0,1,0
1776342674.1254,66.8000,-0.0826,212,21,1,0,1,0
1776342674.4695,67.6000,-0.0789,215,20,1,0,1,0
1776342674.7902,68.4000,-0.0742,218,18,1,0,1,0
1776342675.1285,69.2000,-0.0688,220,17,1,0,1,0
1776342675.4710,70.0000,-0.0634,223,16,1,0,1,0
1776342675.8594,70.8000,-0.0580,225,14,1,0,1,0
1776342676.6821,71.5360,-0.0525,228,13,1,0,1,0
1776342677.1096,72.2131,-0.0470,230,0,1,0,0,0
1776342677.4621,72.8361,-0.0418,232,0,1,0,0,0
1776342677.8507,73.4092,-0.0370,233,0,1,0,0,0
1776342678.3423,73.9364,-0.0329,235,0,1,0,0,0
1776342678.6920,74.4215,-0.0303,237,0,1,0,0,0
1776342679.0225,74.8678,-0.0305,238,0,1,0,0,0
1776342679.4317,75.2784,-0.0306,239,0,1,0,0,0
1776342680.1418,73.2784,-0.0326,233,0,1,0,0,0
1776342680.6435,73.8161,-0.0398,235,0,1,0,0,0
1776342680.9833,74.3108,-0.0477,236,0,1,0,0,0
1776342681.3508,74.7660,-0.0575,238,14,1,0,1,0
